Zins/Laufzeit;Produkt;Effektivzins;Laufzeit;Faktor;Nominalzins
0|7|;9;0;7;0;0,1
0|8|;9;0;8;0;0
0|9|;9;0;9;0;0,1
0|10|;9;0;10;0;0
0|11|;9;0;11;0,001;0,1
0|12|;9;0;12;0;0,1
0|13|;9;0;13;0,001;0,1
0|16|;9;0;16;0;0
0|17|;9;0;17;0;0,1
0|18|;9;0;18;0;0,1
0|19|;9;0;19;0;0,1
0|20|;9;0;20;0;0
0|21|;9;0;21;0,002;0,1
0|25|;9;0;25;0;0
0|26|;9;0;26;0,001;0,1
0|27|;9;0;27;0,002;0,1
0|30|;9;0;30;0,002;0,1
0|32|;9;0;32;0;0
0|33|;9;0;33;0,003;0,1
0|34|;9;0;34;0;0,1
0|35|;9;0;35;0,002;0,1
0|36|;9;0;36;0;0,1
0|37|;9;0;37;0,003;0,1
0|38|;9;0;38;0;0,1
0|39|;9;0;39;0,003;0,1
0|40|;9;0;40;0;0
0|42|;9;0;42;0,002;0,1
0|43|;9;0;43;0;0,1
0|44|;9;0;44;0,003;0,1
0|46|;9;0;46;0,004;0,1
0|48|;9;0;48;0,003;0,1
0|50|;9;0;50;0;0
0|51|;9;0;51;0;0,1
0|53|;9;0;53;0;0,1
0|55|;9;0;55;0,001;0,1
0|56|;9;0;56;0,004;0,1
0|57|;9;0;57;0;0,1
0|58|;9;0;58;0,003;0,1
0|59|;9;0;59;0,005;0,1
0|61|;9;0;61;0,003;0,1
0|62|;9;0;62;0,006;0,1
0|63|;9;0;63;0,006;0,1
0|64|;9;0;64;0,006;0,1
0|66|;9;0;66;0,003;0,1
0|67|;9;0;67;0,004;0,1
0|68|;9;0;68;0;0,1
0|70|;9;0;70;0,002;0,1
0,1|6|;9;0,1;6;0,029;0,2
0,1|7|;9;0,1;7;0,032;0,1
0,1|8|;9;0,1;8;0,036;0,1
0,1|9|;9;0,1;9;0,042;0,2
0,1|10|;9;0,1;10;0,046;0,2
0,1|11|;9;0,1;11;0,049;0,1
0,1|12|;9;0,1;12;0,053;0,1
0,1|13|;9;0,1;13;0,058;0,2
0,1|14|;9;0,1;14;0,063;0,2
0,1|15|;9;0,1;15;0,068;0,2
0,1|16|;9;0,1;16;0,07;0,1
0,1|17|;9;0,1;17;0,075;0,2
0,1|18|;9;0,1;18;0,08;0,2
0,1|19|;9;0,1;19;0,084;0,2
0,1|20|;9;0,1;20;0,088;0,2
0,1|21|;9;0,1;21;0,09;0,1
0,1|22|;9;0,1;22;0,095;0,2
0,1|23|;9;0,1;23;0,1;0,2
0,1|24|;9;0,1;24;0,104;0,2
0,1|25|;9;0,1;25;0,11;0,2
0,1|26|;9;0,1;26;0,11;0,1
0,1|27|;9;0,1;27;0,116;0,2
0,1|28|;9;0,1;28;0,122;0,2
0,1|29|;9;0,1;29;0,125;0,2
0,1|30|;9;0,1;30;0,128;0,1
0,1|31|;9;0,1;31;0,136;0,2
0,1|32|;9;0,1;32;0,134;0,1
0,1|33|;9;0,1;33;0,141;0,2
0,1|34|;9;0,1;34;0,143;0,1
0,1|35|;9;0,1;35;0,149;0,1
0,1|36|;9;0,1;36;0,152;0,1
0,1|37|;9;0,1;37;0,159;0,2
0,1|38|;9;0,1;38;0,16;0,1
0,1|39|;9;0,1;39;0,167;0,2
0,1|40|;9;0,1;40;0,168;0,1
0,1|41|;9;0,1;41;0,171;0,1
0,1|42|;9;0,1;42;0,178;0,1
0,1|43|;9;0,1;43;0,181;0,1
0,1|44|;9;0,1;44;0,188;0,2
0,1|45|;9;0,1;45;0,188;0,1
0,1|46|;9;0,1;46;0,197;0,2
0,1|47|;9;0,1;47;0,204;0,2
0,1|48|;9;0,1;48;0,204;0,2
0,1|49|;9;0,1;49;0,205;0,1
0,1|50|;9;0,1;50;0,21;0,1
0,1|51|;9;0,1;51;0,215;0,1
0,1|52|;9;0,1;52;0,224;0,2
0,1|53|;9;0,1;53;0,223;0,1
0,1|54|;9;0,1;54;0,224;0,1
0,1|55|;9;0,1;55;0,232;0,1
0,1|56|;9;0,1;56;0,24;0,2
0,1|57|;9;0,1;57;0,24;0,1
0,1|58|;9;0,1;58;0,247;0,2
0,1|59|;9;0,1;59;0,252;0,2
0,1|60|;9;0,1;60;0,26;0,2
0,1|61|;9;0,1;61;0,259;0,2
0,1|62|;9;0,1;62;0,266;0,2
0,1|63|;9;0,1;63;0,27;0,2
0,1|64|;9;0,1;64;0,275;0,2
0,1|65|;9;0,1;65;0,269;0,1
0,1|66|;9;0,1;66;0,28;0,2
0,1|67|;9;0,1;67;0,285;0,2
0,1|68|;9;0,1;68;0,286;0,1
0,1|69|;9;0,1;69;0,298;0,2
0,1|70|;9;0,1;70;0,296;0,2
0,1|71|;9;0,1;71;0,294;0,1
0,1|72|;9;0,1;72;0,31;0,2
0,2|6|;9;0,2;6;0,058;0,3
0,2|7|;9;0,2;7;0,066;0,2
0,2|8|;9;0,2;8;0,075;0,3
0,2|9|;9;0,2;9;0,083;0,2
0,2|10|;9;0,2;10;0,092;0,3
0,2|11|;9;0,2;11;0,1;0,2
0,2|12|;9;0,2;12;0,108;0,3
0,2|13|;9;0,2;13;0,115;0,2
0,2|14|;9;0,2;14;0,125;0,2
0,2|15|;9;0,2;15;0,134;0,3
0,2|16|;9;0,2;16;0,14;0,2
0,2|17|;9;0,2;17;0,15;0,3
0,2|18|;9;0,2;18;0,159;0,3
0,2|19|;9;0,2;19;0,168;0,3
0,2|20|;9;0,2;20;0,176;0,3
0,2|21|;9;0,2;21;0,182;0,2
0,2|22|;9;0,2;22;0,192;0,3
0,2|23|;9;0,2;23;0,201;0,3
0,2|24|;9;0,2;24;0,209;0,3
0,2|25|;9;0,2;25;0,215;0,2
0,2|26|;9;0,2;26;0,224;0,2
0,2|27|;9;0,2;27;0,234;0,3
0,2|28|;9;0,2;28;0,24;0,2
0,2|29|;9;0,2;29;0,247;0,2
0,2|30|;9;0,2;30;0,26;0,3
0,2|31|;9;0,2;31;0,266;0,2
0,2|32|;9;0,2;32;0,275;0,2
0,2|33|;9;0,2;33;0,28;0,2
0,2|34|;9;0,2;34;0,293;0,3
0,2|35|;9;0,2;35;0,303;0,3
0,2|36|;9;0,2;36;0,31;0,3
0,2|37|;9;0,2;37;0,314;0,2
0,2|38|;9;0,2;38;0,327;0,3
0,2|39|;9;0,2;39;0,331;0,2
0,2|40|;9;0,2;40;0,344;0,3
0,2|41|;9;0,2;41;0,351;0,3
0,2|42|;9;0,2;42;0,354;0,2
0,2|43|;9;0,2;43;0,37;0,3
0,2|44|;9;0,2;44;0,372;0,2
0,2|45|;9;0,2;45;0,386;0,3
0,2|46|;9;0,2;46;0,39;0,2
0,2|47|;9;0,2;47;0,401;0,3
0,2|48|;9;0,2;48;0,406;0,2
0,2|49|;9;0,2;49;0,42;0,3
0,2|50|;9;0,2;50;0,43;0,3
0,2|51|;9;0,2;51;0,429;0,2
0,2|52|;9;0,2;52;0,443;0,3
0,2|53|;9;0,2;53;0,445;0,2
0,2|54|;9;0,2;54;0,461;0,3
0,2|55|;9;0,2;55;0,463;0,2
0,2|56|;9;0,2;56;0,475;0,2
0,2|57|;9;0,2;57;0,479;0,2
0,2|58|;9;0,2;58;0,49;0,2
0,2|59|;9;0,2;59;0,5;0,3
0,2|60|;9;0,2;60;0,512;0,3
0,2|61|;9;0,2;61;0,515;0,2
0,2|62|;9;0,2;62;0,526;0,3
0,2|63|;9;0,2;63;0,535;0,3
0,2|64|;9;0,2;64;0,544;0,3
0,2|65|;9;0,2;65;0,555;0,3
0,2|66|;9;0,2;66;0,557;0,2
0,2|67|;9;0,2;67;0,567;0,2
0,2|68|;9;0,2;68;0,572;0,2
0,2|69|;9;0,2;69;0,588;0,3
0,2|70|;9;0,2;70;0,59;0,2
0,2|71|;9;0,2;71;0,607;0,3
0,2|72|;9;0,2;72;0,612;0,3
0,3|6|;9;0,3;6;0,087;0,3
0,3|7|;9;0,3;7;0,1;0,3
0,3|8|;9;0,3;8;0,112;0,3
0,3|9|;9;0,3;9;0,125;0,4
0,3|10|;9;0,3;10;0,138;0,4
0,3|11|;9;0,3;11;0,15;0,4
0,3|12|;9;0,3;12;0,161;0,3
0,3|13|;9;0,3;13;0,175;0,4
0,3|14|;9;0,3;14;0,186;0,3
0,3|15|;9;0,3;15;0,2;0,3
0,3|16|;9;0,3;16;0,211;0,3
0,3|17|;9;0,3;17;0,225;0,4
0,3|18|;9;0,3;18;0,238;0,4
0,3|19|;9;0,3;19;0,251;0,4
0,3|20|;9;0,3;20;0,264;0,4
0,3|21|;9;0,3;21;0,275;0,3
0,3|22|;9;0,3;22;0,289;0,4
0,3|23|;9;0,3;23;0,298;0,3
0,3|24|;9;0,3;24;0,31;0,3
0,3|25|;9;0,3;25;0,325;0,3
0,3|26|;9;0,3;26;0,339;0,4
0,3|27|;9;0,3;27;0,348;0,3
0,3|28|;9;0,3;28;0,363;0,4
0,3|29|;9;0,3;29;0,374;0,3
0,3|30|;9;0,3;30;0,386;0,3
0,3|31|;9;0,3;31;0,402;0,4
0,3|32|;9;0,3;32;0,409;0,3
0,3|33|;9;0,3;33;0,425;0,3
0,3|34|;9;0,3;34;0,436;0,3
0,3|35|;9;0,3;35;0,45;0,3
0,3|36|;9;0,3;36;0,461;0,3
0,3|37|;9;0,3;37;0,477;0,4
0,3|38|;9;0,3;38;0,487;0,3
0,3|39|;9;0,3;39;0,503;0,4
0,3|40|;9;0,3;40;0,512;0,3
0,3|41|;9;0,3;41;0,523;0,3
0,3|42|;9;0,3;42;0,539;0,4
0,3|43|;9;0,3;43;0,551;0,4
0,3|44|;9;0,3;44;0,566;0,4
0,3|45|;9;0,3;45;0,575;0,3
0,3|46|;9;0,3;46;0,583;0,3
0,3|47|;9;0,3;47;0,598;0,3
0,3|48|;9;0,3;48;0,617;0,4
0,3|49|;9;0,3;49;0,626;0,4
0,3|50|;9;0,3;50;0,64;0,4
0,3|51|;9;0,3;51;0,653;0,4
0,3|52|;9;0,3;52;0,661;0,3
0,3|53|;9;0,3;53;0,678;0,4
0,3|54|;9;0,3;54;0,688;0,4
0,3|55|;9;0,3;55;0,705;0,4
0,3|56|;9;0,3;56;0,71;0,3
0,3|57|;9;0,3;57;0,73;0,4
0,3|58|;9;0,3;58;0,734;0,3
